PLAYERID,NAME,FNAME,ID7,BIRTHDATE,SKINTONE,EYEWEAR,SPEECH05,CFAVAIL,USE,COACH,PORTIN05,PORTIN06,IS07OR08,ISID7DUPL
65,Outlaw,Bo,CHOUTLA,19710413,4,17,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
66,Parks,Cherokee,CHPARKS,19721011,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
70,Ward,Charlie,CHWARD_,19701012,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
71,Webber,Chris,CHWEBBE,19730301,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
72,Whitney,Chris,CHWHITN,19711005,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
74,Robinson,Cliff,CLROBIN,19661216,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
76,Weatherspoon,Clarence,CLWEATH,19700908,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
78,Blount,Corie,COBLOUN,19690104,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
79,Williamson,Corliss,COWILLI,19731204,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
81,Armstrong,Darrell,DAARMST,19680622,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
84,Davis,Dale,DADAVIS,19690325,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
86,Ferry,Danny,DAFERRY,19661017,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
87,Fortson,Danny,DAFORTS,19760327,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
88,Ham,Darvin,DAHAM__,19730723,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
91,Manning,Danny,DAMANNI,19660517,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
92,Martin,Darrick,DAMARTI,19710306,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
93,Robinson,David,DAROBIN,19650806,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
95,Stoudamire,Damon,DASTOUD,19730903,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
97,Wesley,David,DAWESLE,19701114,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
100,Anderson,Derek,DEANDER,19740718,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
101,Brown,Dee,DEBROWN,19681129,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
102,Coleman,Derrick,DECOLEM,19670621,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
103,Curry,Dell,DECURRY,19640625,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
104,Fisher,Derek,DEFISHE,19740809,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
112,Mutombo,Dikembe,DIMUTOM,19660625,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
114,Marshall,Donyell,DOMARSH,19730518,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
115,Christie,Doug,DOCHRIS,19700509,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
120,Overton,Doug,DOOVERT,19690803,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
128,Jones,Eddie,EDJONES,19711020,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
131,Campbell,Elden,ELCAMPB,19680723,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
135,Dampier,Erick,ERDAMPI,19740714,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
136,Johnson,Ervin,ERJOHNS,19671221,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
139,Montross,Eric,ERMONTR,19710923,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
140,Piatkowski,Eric,ERPIATK,19700930,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
141,Snow,Eric,ERSNOW_,19730424,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
142,Strickland,Erick,ERSTRIC,19731125,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
143,Williams,Eric,ERWILLI,19720717,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
145,Hoiberg,Fred,FRHOIBE,19721015,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
146,Payton,Gary,GAPAYTO,19680723,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
147,Trent,Gary,GATRENT,19740922,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
148,Lynch,George,GELYNCH,19700903,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
153,Rice,Glen,GLRICE_,19670528,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
154,Robinson,Glenn,GLROBIN,19730110,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
156,Jackson,Jermaine,JEJACKS,19760606,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
157,Hill,Grant,GRHILL_,19721005,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
158,Long,Grant,GRLONG_,19660312,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
160,Ostertag,Greg,GROSTER,19730306,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
161,Grant,Harvey,HAGRANT,19650704,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
162,Olajuwon,Hakeem,HAOLAJU,19630121,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
163,Workman,Haywoode,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
164,Hawkins,Hersey,HEHAWKI,19660929,3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
165,Hamilton,Thomas,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
166,Jamison,Harold,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
167,Eisley,Howard,HOEISLE,19721204,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
168,Grant,Horace,HOGRANT,19650704,4,22,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
170,Davis,Hubert,HUDAVIS,19700517,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
171,Austin,Isaac,ISAUSTI,19690818,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
172,Rider,Isaiah,ISRIDER,19710312,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
174,Caffey,Jason,JACAFFE,19730612,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
175,Cotton,James,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
176,Jackson,Jaren,JAJACKS,19671027,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
177,Kidd,Jason,JAKIDD_,19730323,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
179,Mashburn,Jamal,JAMASHB,19721129,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
180,Robinson,James,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
181,Rose,Jalen,JAROSE_,19730130,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
182,Vaughn,Jacque,JAVAUGH,19750211,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
183,Borrell,Lazaro,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
184,Palacio,Milt,MIPALAC,19780207,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
185,Kersey,Jerome,JEKERSE,19620626,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
186,O'Neal,Jermaine,JEONEAL,19781013,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
188,Stackhouse,Jerry,JESTACK,19741105,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
189,Williams,Jerome,JEWILLI,19730510,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
190,Jackson,Jimmy,JIJACKS,19701014,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
191,McIlvaine,Jim,JIMCILV,19720730,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
192,Barry,Jon,JOBARRY,19690725,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
193,Crotty,John,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
195,Kleine,Joe,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
196,Gray,Devin,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
198,Newman,Johnny,JONEWMA,19631128,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
199,Smith,Joe,JOSMITH,19750726,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
200,Starks,John,JOSTARK,19650810,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
201,Stockton,John,JOSTOCK,19620326,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
202,Taylor,Johnny,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
203,Thomas,John,JOTHOMA,19750908,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
204,Wallace,John,JOWALLA,19740209,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
205,Williams,John,JOWILLI,19620809,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
206,Thomas,Jamel,JATHOMA,19760719,3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
207,Reid,J.R.,JRREID_,19680331,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
209,Howard,Juwan,JUHOWAR,19730207,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
210,Malone,Karl,KAMALON,19630724,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
211,Anderson,Kenny,KEANDER,19701009,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
212,Askins,Keith,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
213,Closs,Keith,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
214,Bowman,Ira,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
216,Karcher,Mark,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
217,Garnett,Kevin,KEGARNE,19760519,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
218,Gill,Kendall,KEGILL_,19680525,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
219,Penn,Scoonie,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
220,Kittles,Kerry,KEKITTL,19740612,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
221,Rush,Jaron,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
224,Van Horn,Keith,KEVANHO,19751023,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
225,Willis,Kevin,KEWILLI,19620906,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
226,Reeves,Khalid,KHREEVE,19720715,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
227,Bryant,Kobe,KOBRYAN,19780823,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
228,Thomas,Kurt,KUTHOMA,19721004,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
229,Ellis,LaPhonso,LAELLIS,19700505,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
230,Johnson,Larry,LAJOHNS,19690314,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
231,Carrawell,Chris,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
232,Murray,Lamond,LAMURRA,19730420,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
233,Sprewell,Latrell,LASPREW,19700908,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
234,Mayberry,Lee,LEMAYBE,19700612,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
235,Hunter,Lindsey,LIHUNTE,19701203,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
236,Brown,Ernest,ERBROWN,19790517,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
238,Vaught,Loy,LOVAUGH,19770120,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
239,Williams,Lorenzo,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
240,Wright,Lorenzen,LOWRIGH,19751104,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
241,Harris,Lucious,LUHARRI,19701218,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
243,Abdul-Rauf,Mahmoud,MAABDUL,19690309,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
244,Bryant,Mark,MABRYAN,19650425,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
245,Bullard,Matt,MABULLA,19670605,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
246,Camby,Marcus,MACAMBY,19740322,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
249,Geiger,Matt,MAGEIGE,19690910,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
250,Jackson,Mark,MAJACKS,19650401,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
251,Vaughn,David,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
252,Maloney,Matt,MAMALON,19711206,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
253,Respert,Shawn,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
258,Strickland,Mark,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
259,Taylor,Maurice,MATAYLO,19761030,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
262,Cage,Michael,MICAGE_,19620128,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
263,Curry,Michael,MICURRY,19680822,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
264,Finley,Michael,MIFINLE,19730306,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
265,Richmond,Mitch,MIRICHM,19650630,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
266,Smith,Michael,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
268,Blaylock,Mookie,MOBLAYL,19670320,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
269,Williams,Monty,MOWILLI,19711008,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
270,Lauderdale,Priest,PRLAUDE,19730831,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
271,Anderson,Nick,NIANDER,19680120,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
272,Van Exel,Nick,NIVANEX,19711127,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
273,Miller,Oliver,OLMILLE,19700406,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
274,Polynice,Olden,OLPOLYN,19641121,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
275,Abdul-Wahad,Tariq,TAABDUL,19741103,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
276,Harrington,Othella,OTHARRI,19740131,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
277,Thorpe,Otis,OTTHORP,19620805,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
278,Ewing,Patrick,PAEWING,19620805,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
280,Ellison,Pervis,PEELLIS,19670403,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
281,Brown,P.J.,PJBROWN,19691014,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
283,Allen,Ray,RAALLEN,19750720,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
284,Brown,Randy,RABROWN,19680522,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
286,Livingston,Randy,RALIVIN,19750402,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
287,Wallace,Rasheed,RAWALLA,19740917,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
288,Chapman,Rex,RECHAPM,19680801,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
289,Goldwire,Anthony,ANGOLDW,19710709,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
290,Miller,Reggie,REMILLE,19650824,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
291,Slater,Reggie,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
292,Walters,Rex,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
294,Fox,Rick,RIFOX__,19690724,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
297,Smits,Rik,RISMITS,19660823,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
299,Horry,Robert,ROHORRY,19700825,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
300,Jones,Popeye,ROJONES,19700617,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
301,Mercer,Ron,ROMERCE,19760518,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
302,Pack,Robert,ROPACK_,19690203,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
304,Rhodes,Rodrick,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
305,Rogers,Rodney,ROROGER,19710620,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
307,Strickland,Rod,ROSTRIC,19660711,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
308,Rogers,Roy,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
309,Cassell,Sam,SACASSE,19691118,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
310,Mack,Sam,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
312,Perkins,Sam,SAPERKI,19610614,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
313,Walker,Samaki,SAWALKE,19760225,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
315,Burrell,Scott,SCBURRE,19710112,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
316,Pippen,Scottie,SCPIPPE,19650925,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
317,Williams,Scott,SCWILLI,19680321,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
318,Elliott,Sean,SEELLIO,19680202,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
319,Rooks,Sean,SEROOKS,19690909,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
321,Abdur-Rahim,Shareef,SHABDUR,19761211,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
322,Anderson,Shandon,SHANDER,19731213,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
323,Bradley,Shawn,SHBRADL,19720322,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
324,Douglas,Sherman,SHDOUGL,19660915,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
325,Heal,Shane,SHHEAL_,19700906,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
326,Kemp,Shawn,SHKEMP_,19691126,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
327,O'Neal,Shaquille,SHONEAL,19720306,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
329,James,Henry,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
331,Smith,Charles,CHSMITH,19750822,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
332,Augmon,Stacey,STAUGMO,19680801,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
333,Newbill,Ivano,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
334,Jackson,Stephen,STJACKS,19780405,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
335,Kerr,Steve,STKERR_,19650927,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
336,Marbury,Stephon,STMARBU,19770220,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
337,Nash,Steve,STNASH_,19740207,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
340,Smith,Steve,STSMITH,19690331,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
