PLAYERID,NAME,FNAME,NAMECOMBINE,ID7,BIRTHDATE,SKINTONE,EYEWEAR,SPEECH05,CFAVAIL,USE,COACH,PORTIN05,PORTIN06,IS07OR08,ISID7DUPL,ISIDDUPL
19,McDyess,Antonio,"McDyess,Antonio",ANMCDYE,19740907,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
20,Parker,Anthony,"Parker,Anthony",ANPARKE,19750619,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2008,FALSE,FALSE
21,Peeler,Anthony,"Peeler,Anthony",ANPEELE,19691125,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
22,Walker,Antoine,"Walker,Antoine",ANWALKE,19760812,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
23,Gilliam,Armon,"Gilliam,Armon",ARGILLI,19670909,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
24,Sabonis,Arvydas,"Sabonis,Arvydas",ARSABON,19641219,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
25,Lang,Antonio,"Lang,Antonio",ATLANG_,19720515,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
26,Croshere,Austin,"Croshere,Austin",AUCROSH,19750501,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
27,Johnson,Avery,"Johnson,Avery",AVJOHNS,19650325,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
28,Wallace,Ben,"Wallace,Ben",BEWALLA,19740910,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
29,Curley,Bill,"Curley,Bill",BICURLE,19720529,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
30,Owens,Billy,"Owens,Billy",BIOWENS,19690501,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
32,Armstrong,B.J.,"Armstrong,B.J.",BJARMST,19670909,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
33,Hurley,Bobby,"Hurley,Bobby",BOHURLE,19710628,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,99,FALSE,FALSE
34,Jackson,Bobby,"Jackson,Bobby",BOJACKS,19730313,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
35,Phills,Bobby,"Phills,Bobby",BOPHILL,19680723,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
36,Sura,Bob,"Sura,Bob",BOSURA_,19730325,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
37,Barry,Brent,"Barry,Brent",BRBARRY,19711231,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
38,Bowen,Bruce,"Bowen,Bruce",BRBOWEN,19710614,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
39,Evans,Brian,"Evans,Brian",BREVANS,19670909,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
40,Grant,Brian,"Grant,Brian",BRGRANT,19720305,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
41,Knight,Brevin,"Knight,Brevin",BRKNIGH,19751108,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
42,Price,Brent,"Price,Brent",BRPRICE,19681209,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
43,Reeves,Bryant,"Reeves,Bryant",BRREEVE,19730608,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
44,Russell,Bryon,"Russell,Bryon",BRRUSSE,19701231,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
45,Shaw,Brian,"Shaw,Brian",BRSHAW_,19660322,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
46,Stith,Bryant,"Stith,Bryant",BRSTITH,19701210,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
47,Long,Art,"Long,Art",ARLONG_,19721001,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2003,FALSE,FALSE
48,Williams,Buck,"Williams,Buck",BUWILLI,19600308,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99,FALSE,FALSE
49,Cheaney,Calbert,"Cheaney,Calbert",CACHEAN,19710717,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
51,Rogers,Carlos,"Rogers,Carlos",CAROGER,19710206,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
52,Ceballos,Cedric,"Ceballos,Cedric",CECEBAL,19690802,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
54,Billups,Chauncey,"Billups,Chauncey",CHBILLU,19760925,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
56,Carr,Chris,"Carr,Chris",CHCARR_,19740312,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
57,Childs,Chris,"Childs,Chris",CHCHILD,19671120,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
58,Dudley,Chris,"Dudley,Chris",CHDUDLE,19650222,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
59,Gatling,Chris,"Gatling,Chris",CHGATLI,19670903,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
60,Laettner,Christian,"Laettner,Christian",CHLAETT,19690817,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
61,Mills,Chris,"Mills,Chris",CHMILLS,19700125,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
62,Morris,Chris,"Morris,Chris",CHMORRI,19660120,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99,FALSE,FALSE
63,Mullin,Chris,"Mullin,Chris",CHMULLI,19630730,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2007,FALSE,FALSE
64,Oakley,Charles,"Oakley,Charles",CHOAKLE,19631218,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
65,Outlaw,Bo,"Outlaw,Bo",CHOUTLA,19710413,4,17,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
66,Parks,Cherokee,"Parks,Cherokee",CHPARKS,19721011,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
67,Person,Chuck,"Person,Chuck",CHPERSO,19680723,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
68,Robinson,Chris,"Robinson,Chris",CHROBIN,19730217,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,99,FALSE,FALSE
69,Smith,Charles,"Smith,Charles",CHSMITH,19650716,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
70,Ward,Charlie,"Ward,Charlie",CHWARD_,19701012,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
71,Webber,Chris,"Webber,Chris",CHWEBBE,19730301,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
72,Whitney,Chris,"Whitney,Chris",CHWHITN,19711005,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
74,Robinson,Cliff,"Robinson,Cliff",CLROBIN,19661216,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE
74,Robinson,Clifford,"Robinson,Clifford",CLROBIN,19661216,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE
75,Rozier,Clifford,"Rozier,Clifford",CLROZIE,19721031,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
76,Weatherspoon,Clarence,"Weatherspoon,Clarence",CLWEATH,19700908,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
77,Alexander,Cory,"Alexander,Cory",COALEXA,19730622,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
78,Blount,Corie,"Blount,Corie",COBLOUN,19690104,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
79,Williamson,Corliss,"Williamson,Corliss",COWILLI,19731204,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
80,Ehlo,Craig,"Ehlo,Craig",CREHLO_,19610811,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,98,FALSE,FALSE
81,Armstrong,Darrell,"Armstrong,Darrell",DAARMST,19680622,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
82,Barros,Dana,"Barros,Dana",DABARRO,19670413,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
84,Davis,Dale,"Davis,Dale",DADAVIS,19690325,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
85,Ellis,Dale,"Ellis,Dale",DAELLIS,19670909,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
86,Ferry,Danny,"Ferry,Danny",DAFERRY,19661017,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
87,Fortson,Danny,"Fortson,Danny",DAFORTS,19760327,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
88,Ham,Darvin,"Ham,Darvin",DAHAM__,19730723,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
89,Hancock,Darrin,"Hancock,Darrin",DAHANCO,19711103,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
90,Majerle,Dan,"Majerle,Dan",DAMAJER,19650909,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
91,Manning,Danny,"Manning,Danny",DAMANNI,19660517,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
92,Martin,Darrick,"Martin,Darrick",DAMARTI,19710306,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
93,Robinson,David,"Robinson,David",DAROBIN,19650806,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
94,Schayes,Danny,"Schayes,Danny",DASCHAY,19590510,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99,FALSE,FALSE
95,Stoudamire,Damon,"Stoudamire,Damon",DASTOUD,19730903,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
97,Wesley,David,"Wesley,David",DAWESLE,19701114,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
98,Wingate,David,"Wingate,David",DAWINGA,19631215,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
99,Wood,David,"Wood,David",DAWOOD_,19641130,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
100,Anderson,Derek,"Anderson,Derek",DEANDER,19740718,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
101,Brown,Dee,"Brown,Dee",DEBROWN,19681129,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
102,Coleman,Derrick,"Coleman,Derrick",DECOLEM,19670621,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
103,Curry,Dell,"Curry,Dell",DECURRY,19640625,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
104,Fisher,Derek,"Fisher,Derek",DEFISHE,19740809,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
105,Garrett,Dean,"Garrett,Dean",DEGARRE,19661127,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
106,Harper,Derek,"Harper,Derek",DEHARPE,19720305,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
107,McKey,Derrick,"McKey,Derrick",DEMCKEY,19661010,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
109,Schrempf,Detlef,"Schrempf,Detlef",DESCHRE,19630121,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
110,Scott,Dennis,"Scott,Dennis",DESCOTT,19650806,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
111,Strong,Derek,"Strong,Derek",DESTRON,19680209,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
112,Mutombo,Dikembe,"Mutombo,Dikembe",DIMUTOM,19660625,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
114,Marshall,Donyell,"Marshall,Donyell",DOMARSH,19730518,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
115,Christie,Doug,"Christie,Doug",DOCHRIS,19700509,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
116,Edwards,Doug,"Edwards,Doug",DOEDWAR,19710121,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2001,FALSE,FALSE
117,Jones,Dontae',"Jones,Dontae'",DOJONES,19750602,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,99,FALSE,FALSE
118,MacLean,Don,"MacLean,Don",DOMACLE,19700116,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
120,Overton,Doug,"Overton,Doug",DOOVERT,19690803,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
121,Reid,Don,"Reid,Don",DOREID_,19731230,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
122,West,Doug,"West,Doug",DOWEST_,19670527,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
123,Wingfield,Dontonio,"Wingfield,Dontonio",DOWINGF,19740623,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
124,Causwell,Duane,"Causwell,Duane",DUCAUSW,19680531,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
125,Ferrell,Duane,"Ferrell,Duane",DUFERRE,19650228,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,99,FALSE,FALSE
126,Gray,Ed,"Gray,Ed",EDGRAY_,19720305,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
127,Johnson,Eddie,"Johnson,Eddie",EDJOHNS,19720305,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
128,Jones,Eddie,"Jones,Eddie",EDJONES,19711020,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
129,O'Bannon,Ed,"O'Bannon,Ed",EDOBANN,19720814,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2001,FALSE,FALSE
130,Pinckney,Ed,"Pinckney,Ed",EDPINCK,19630327,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,98,FALSE,FALSE
131,Campbell,Elden,"Campbell,Elden",ELCAMPB,19680723,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
132,Perry,Elliot,"Perry,Elliot",ELPERRY,19690328,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
133,Recasner,Eldridge,"Recasner,Eldridge",ELRECAS,19671214,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
134,Davis,Emanual,"Davis,Emanual",EMDAVIS,19680827,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
135,Dampier,Erick,"Dampier,Erick",ERDAMPI,19740714,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
136,Johnson,Ervin,"Johnson,Ervin",ERJOHNS,19671221,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
138,Mobley,Eric,"Mobley,Eric",ERMOBLE,19700201,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
139,Montross,Eric,"Montross,Eric",ERMONTR,19710923,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
140,Piatkowski,Eric,"Piatkowski,Eric",ERPIATK,19700930,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
141,Snow,Eric,"Snow,Eric",ERSNOW_,19730424,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
142,Strickland,Erick,"Strickland,Erick",ERSTRIC,19731125,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
143,Williams,Eric,"Williams,Eric",ERWILLI,19720717,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
144,Spencer,Felton,"Spencer,Felton",FESPENC,19680105,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
145,Hoiberg,Fred,"Hoiberg,Fred",FRHOIBE,19721015,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
146,Payton,Gary,"Payton,Gary",GAPAYTO,19680723,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
147,Trent,Gary,"Trent,Gary",GATRENT,19740922,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
148,Lynch,George,"Lynch,George",GELYNCH,19700903,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
149,McCloud,George,"McCloud,George",GEMCCLO,19670527,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
150,Wilkins,Gerald,"Wilkins,Gerald",GEWILKI,19630911,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99,FALSE,FALSE
151,Zidek,George,"Zidek,George",GEZIDEK,19730802,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2001,FALSE,FALSE
152,Muresan,Gheorghe,"Muresan,Gheorghe",GHMURES,19630724,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
153,Rice,Glen,"Rice,Glen",GLRICE_,19670528,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
154,Robinson,Glenn,"Robinson,Glenn",GLROBIN,19730110,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
155,Foster,Greg,"Foster,Greg",GRFOSTE,19681003,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
156,Jackson,Jermaine,"Jackson,Jermaine",JEJACKS,19760606,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2007,FALSE,FALSE
157,Hill,Grant,"Hill,Grant",GRHILL_,19721005,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
158,Long,Grant,"Long,Grant",GRLONG_,19660312,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
159,Minor,Greg,"Minor,Greg",GRMINOR,19710918,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
160,Ostertag,Greg,"Ostertag,Greg",GROSTER,19730306,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
161,Grant,Harvey,"Grant,Harvey",HAGRANT,19650704,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
162,Olajuwon,Hakeem,"Olajuwon,Hakeem",HAOLAJU,19630121,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE
162,Olajuwon,Akeem,"Olajuwon,Akeem",HAOLAJU,19630121,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE
163,Workman,Haywoode,"Workman,Haywoode",HAWORKM,19660123,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
164,Hawkins,Hersey,"Hawkins,Hersey",HEHAWKI,19660929,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
165,Hamilton,Thomas,"Hamilton,Thomas",THHAMIL,,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE
166,Jamison,Harold,"Jamison,Harold",HAJAMIS,19761120,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE
167,Eisley,Howard,"Eisley,Howard",HOEISLE,19721204,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
168,Grant,Horace,"Grant,Horace",HOGRANT,19650704,4,22,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
169,Llamas,Horacio,"Llamas,Horacio",HOLLAMA,19730717,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
170,Davis,Hubert,"Davis,Hubert",HUDAVIS,19700517,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
171,Austin,Isaac,"Austin,Isaac",ISAUSTI,19690818,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
172,Rider,Isaiah,"Rider,Isaiah",ISRIDER,19710312,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
174,Caffey,Jason,"Caffey,Jason",JACAFFE,19730612,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
175,Cotton,James,"Cotton,James",JACOTTO,19751214,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
176,Jackson,Jaren,"Jackson,Jaren",JAJACKS,19671027,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
177,Kidd,Jason,"Kidd,Jason",JAKIDD_,19730323,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
179,Mashburn,Jamal,"Mashburn,Jamal",JAMASHB,19721129,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
180,Robinson,James,"Robinson,James",JAROBIN,19700831,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
181,Rose,Jalen,"Rose,Jalen",JAROSE_,19730130,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
182,Vaughn,Jacque,"Vaughn,Jacque",JAVAUGH,19750211,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
183,Borrell,Lazaro,"Borrell,Lazaro",LABORRE,,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE
184,Palacio,Milt,"Palacio,Milt",MIPALAC,19780207,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
185,Kersey,Jerome,"Kersey,Jerome",JEKERSE,19620626,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
186,O'Neal,Jermaine,"O'Neal,Jermaine",JEONEAL,19781013,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
187,Richardson,Jerome,"Richardson,Jerome",PORICHA,19680723,,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
